weaid,cityid,cityno,area_1,area_2,loc_x,loc_y
1,101010100,beijing,北京,北京,116.403874,39.914889
23,101030100,tianjin,天津,天津,117.210813,39.14393
36,101020100,shanghai,上海,上海,121.487899,31.249162
48,101090101,shijiazhuang,河北,石家庄,114.522082,38.048958
49,101090301,zhangjiakou,河北,张家口,114.893782,40.811188
50,101090402,chengde,河北,承德,117.933822,40.992521
51,101090501,tangshan,河北,唐山,118.183451,39.650531
52,101091101,qinhuangdao,河北,秦皇岛,119.604368,39.945462
53,101090701,cangzhou,河北,沧州,116.863806,38.297615
54,101090801,hengshui,河北,衡水,115.686229,37.746929
55,101090901,xingtai,河北,邢台,114.520487,37.069531
56,101091001,handan,河北,邯郸,114.482694,36.609308
57,101090201,baoding,河北,保定,115.49481,38.886565
58,101090601,langfang,河北,廊坊,116.703602,39.518611
59,101180101,zhengzhou,河南,郑州,113.649644,34.75661
62,101180501,pingdingshan,河南,平顶山,113.300849,33.745301
65,101180801,kaifeng,河南,开封,114.351642,34.801854
66,101180901,luoyang,河南,洛阳,112.447525,34.657368
68,101181101,jiaozuo,河南,焦作,113.211836,35.234608
74,101181701,sanmenxia,河南,三门峡,111.181262,34.78332
76,101180201,anyang,河南,安阳,114.351807,36.110267
77,101220101,hefei,安徽,合肥,117.282699,31.866942
78,101220301,wuhu,安徽,芜湖,118.384108,31.36602
80,101220501,maanshan,安徽,马鞍山,118.515882,31.688528
94,101210101,hangzhou,浙江,杭州,120.219375,30.259244
95,101211101,zhoushan,浙江,舟山,122.169872,30.03601
96,101210201,huzhou,浙江,湖州,120.137243,30.877925
97,101210301,jiaxing,浙江,嘉兴,120.760428,30.773992
98,101210901,jinhua,浙江,金华,119.652576,29.102899
100,101210601,zjtaizhou,浙江,台州,121.440613,28.668283
101,101210701,wenzhou,浙江,温州,120.690635,28.002838
102,101210801,zjlishui,浙江,丽水,119.929576,28.4563
103,101211001,zjquzhou,浙江,衢州,118.875842,28.95691
104,101210401,ningbo,浙江,宁波,121.579006,29.885259
141,101230101,fjfuzhou,福建,福州,119.330221,26.047125
142,101230501,quanzhou,福建,泉州,118.600362,24.901652
147,101230201,xiamen,福建,厦门,118.103886,24.489231
